reaction,name,lb,ub
34HPPOR,4 Hydroxyphenylpyruvateoxygen oxidoreductase,0.0,1000.0
ACACT1r,Acetyl-CoA C-acetyltransferase,-1000.0,1000.0
ACCOAL,Acetate-CoA ligase (ADP-forming),0.0,1000.0
ACGK,Acetylglutamate kinase,0.0,1000.0
ACITL,ATP-Citrate lyase,0.0,1000.0
ACODA,Acetylornithine deacetylase,0.0,1000.0
ACP1_FMN,Acid phosphatase (FMN),0.0,1000.0
ACPS,Acyl Carrier Protein Synthase,0.0,1000.0
ACS2,Acetyl-CoA synthase (propionate),0.0,1000.0
ACt2r,Acetate reversible transport via proton symport,0.0,1000.0
ADA,Adenosine deaminase,0.0,1000.0
ADADir,Deoxycytidine kinase,0.0,1000.0
ADD,Adenine deaminase,0.0,1000.0
ADK1,Adenylate kinase,-1000.0,1000.0
ADK3,Adentylate kinase (GTP),-1000.0,1000.0
ADK4,Adentylate kinase (ITP),-1000.0,1000.0
ADKd,Adenylate kinase (d form),-1000.0,1000.0
ADMDC,Adenosylmethionine decarboxylase,0.0,1000.0
ADNCYC,Adenylate cyclase,0.0,1000.0
ADNK1,Adenosine kinase,0.0,1000.0
ADPRDP,ADPribose diphosphatase,0.0,1000.0
ADPT,Adenine phosphoribosyltransferase,0.0,1000.0
ADSK,Adenylyl-sulfate kinase,0.0,1000.0
ADSL1r,Adenylsuccinate lyase,-1000.0,1000.0
ADSL2r,Adenylosuccinate lyase,-1000.0,1000.0
AGPR,N-acetyl-g-glutamyl-phosphate reductase,-1000.0,1000.0
AICART,Phosphoribosylaminoimidazolecarboxamide formyltransferase,-1000.0,1000.0
AIRCr,Phosphoribosylaminoimidazole carboxylase,-1000.0,1000.0
ALCD1,Alcohol dehydrogenase (methanol),-1000.0,1000.0
ALCD2ir,Alcohol dehydrogenase  reverse rxn  acetaldehyde   ethanol ,-1000.0,1000.0
ALCD2x,Alcohol dehydrogenase (ethanol),-1000.0,1000.0
ALCD2y,"Alcohol dehydrogenase (ethanol, NADP)",-1000.0,1000.0
ALDD1,Aldehyde dehydrogenase  formaldehyde  NAD ,0.0,1000.0
ALDD2x,"Aldehyde dehydrogenase (acetaldehyde, NAD)",0.0,1000.0
ALDD2y,"Aldehyde dehydrogenase (acetaldehyde, NADP)",0.0,1000.0
ALDD4,"Aldehyde dehydrogenase (butanal, NAD)",0.0,1000.0
ALKP,Alkaline phosphatase,0.0,1000.0
ALLTAHr,Allantoate amidinohydrolase  reversible,-1000.0,1000.0
ALLTAMH,Allantoate amidohydrolase,0.0,1000.0
ALPHNH,Allophanate hydrolase,0.0,1000.0
AMPN,AMP nucleosidase,0.0,1000.0
ATPHs,ATP amine hydrolysis (spontaneous),0.0,1000.0
ATPPRT,ATP phosphoribosyltransferase,0.0,1000.0
BNOCA,BNOCA,0.0,1000.0
BTCOARx,Butyryl-coA reductase (NADH),0.0,1000.0
CBMKr,Carbamate kinase,-1000.0,1000.0
CDDTPP,DTTP cytidine 5'-phosphotransferase ,-1000.0,1000.0
CHORM,Chorismate mutase,0.0,1000.0
CPK1,Adenylate kinase,-1000.0,1000.0
CSND,Cytosine deaminase,0.0,1000.0
CTPS1,CTP synthase  NH3 ,0.0,1000.0
CYTD,Cytidine deaminase,0.0,1000.0
CYTDK1,ATP:cytidine 5'-phosphotransferase,0.0,1000.0
CYTDK1_1,Cytidine kinase (ATP),0.0,1000.0
CYTDK2,Cytidine kinase (GTP),0.0,1000.0
