tr|A0A250X9Q3|A0A250X9Q3_9CHLO	Cre10.g453350.t1.2	32.1	474	154	12	33	349	22	484	7.11e-55	195
tr|A0A835WLJ1|A0A835WLJ1_9CHLO	Cre10.g449850.t1.1	63.7	1430	378	20	2	1325	17	1411	2.78e-311	914
tr|A0A835YH13|A0A835YH13_9CHLO	Cre08.g358600.t1.1	45.4	458	128	14	7	354	31	476	1.05e-69	225
tr|A0A835Y1G5|A0A835Y1G5_9CHLO	Cre07.g338950.t1.2	79.6	54	10	1	982	1035	1163	1215	5.49e-12	71.6
tr|A0A7S0R3Y7|A0A7S0R3Y7_9CHLO	Cre09.g403800.t1.2	81.6	1667	303	2	1	1664	2902	4567	0.0	2685
tr|A0A7R9YYB3|A0A7R9YYB3_9CHLO	Cre06.g291550.t1.2	44.4	144	78	2	17	158	12	155	1.89e-24	99.8
tr|A0A836C3U6|A0A836C3U6_9CHLO	Cre09.g407700.t1.2	32.5	252	134	11	307	554	143	362	2.38e-25	111
tr|A0A835YD45|A0A835YD45_9CHLO	Cre12.g532350.t1.1	35.0	4979	2042	125	43	4225	53	4602	0.0	1459
tr|A0A2J7ZVB9|A0A2J7ZVB9_9CHLO	Cre14.g623439.t1.1	44.3	228	100	6	118	318	1	228	3.26e-44	159
tr|A0A835TDS7|A0A835TDS7_9CHLO	Cre08.g363150.t1.2	79.5	1743	323	13	48	1784	28	1741	0.0	2742
tr|D8TZ35|D8TZ35_VOLCA	Cre03.g165850.t1.2	51.3	398	127	5	268	599	297	693	2.21e-107	338
tr|A0A150GCK9|A0A150GCK9_GONPE	Cre14.g625050.t1.1	59.6	171	64	2	210	378	1024	1191	2.94e-58	206
tr|A0A250X3Y5|A0A250X3Y5_9CHLO	Cre16.g672200.t1.1	39.8	274	143	6	2759	3027	4800	5056	1.27e-38	160
tr|A0A150GB40|A0A150GB40_GONPE	Cre10.g457400.t1.1	26.5	2960	874	41	3	1665	284	3237	3.95e-232	754
tr|A0A2K3DST0|A0A2K3DST0_CHLRE	Cre05.g236183.t1.1	100	529	0	0	1	529	1	529	8.64e-273	752
tr|A0A835XH72|A0A835XH72_9CHLO	Cre06.g257600.t2.1	47.9	1699	589	27	6	1507	1	1600	5.39e-254	789
tr|A0A835WAP5|A0A835WAP5_CHLIN	Cre13.g568176.t1.1	67.2	125	39	2	5	127	5	129	1.31e-35	145
tr|A0A250WWQ3|A0A250WWQ3_9CHLO	Cre15.g634701.t1.1	33.3	828	291	16	1513	2178	1995	2723	3.01e-86	316
tr|A0A835TG42|A0A835TG42_CHLIN	Cre03.g169850.t1.2	94.4	798	44	1	1	797	64	861	0.0	1418
tr|A0A835WE51|A0A835WE51_CHLIN	Cre08.g366950.t1.2	54.2	1170	401	30	1	1099	14	1119	1.83e-263	773
tr|A0A2K3E583|A0A2K3E583_CHLRE	Cre01.g008250.t1.2	100	1127	0	0	1	1127	1	1127	0.0	998
tr|A0A835T6V9|A0A835T6V9_9CHLO	Cre03.g197450.t1.1	50.7	3248	1204	73	9	2970	5	3142	0.0	1983
tr|A0A835YHW2|A0A835YHW2_9CHLO	Cre13.g605850.t1.1	29.3	2534	1222	84	501	2676	790	3111	9.45e-155	542
tr|A0A2J7ZSA6|A0A2J7ZSA6_9CHLO	Cre01.g039500.t1.2	40.5	934	430	20	348	1201	20	907	1.28e-172	566
tr|A0A1W5IVS0|A0A1W5IVS0_9CHLO	Cre17.g709800.t1.2	63.2	133	46	1	307	439	229	358	3.92e-42	162
tr|A0A150G407|A0A150G407_GONPE	Cre12.g558800.t1.1	69.2	91	28	0	405	495	672	762	6.77e-24	108
tr|A0A835T3N4|A0A835T3N4_CHLIN	Cre17.g704850.t1.2	96.7	181	6	0	1	181	1	181	1.86e-123	345
tr|A0A150G0I4|A0A150G0I4_GONPE	Cre04.g217200.t1.1	47.4	352	125	9	66	395	141	454	3.09e-17	85.5
tr|A0A250XI57|A0A250XI57_9CHLO	Cre08.g385500.t1.2	36.9	452	187	12	88	529	1	364	6.81e-91	287
tr|A0A835SRK4|A0A835SRK4_CHLIN	Cre01.g050900.t1.1	77.8	126	28	0	18	143	175	300	3.22e-67	205
tr|A0A7S0S2T8|A0A7S0S2T8_9CHLO	Cre02.g088750.t1.2	42.7	973	402	15	1	924	4039	4904	5.54e-209	662
tr|D8UC66|D8UC66_VOLCA	Cre03.g144144.t2.1	72.5	269	63	2	14	281	19	277	4.22e-122	364
tr|A0A7S0RNC3|A0A7S0RNC3_9CHLO	Cre07.g326150.t1.1	66.7	105	32	1	46	150	34	135	6.83e-43	165
tr|A0A6U2CS55|A0A6U2CS55_9CHLO	Cre12.g529651.t1.1	81.3	193	36	0	80	272	1	193	2.90e-105	303
tr|A0A699ZEB2|A0A699ZEB2_HAELA	Cre01.g040379.t1.2	50.7	215	77	3	1	199	658	859	9.92e-55	187
