Cre08.g382350.t1.2	tr|D8U306|D8U306_VOLCA	91.8	331	27	0	1	331	1	331	4.54e-220	603
Cre08.g370116.t1.1	tr|A0A2K3DH75|A0A2K3DH75_CHLRE	72.7	161	32	4	1870	2027	1418	1569	1.17e-37	152
Cre08.g366950.t1.2	tr|A0A835WE51|A0A835WE51_CHLIN	55.0	1166	398	29	14	1119	1	1099	2.41e-260	761
Cre08.g365300.t1.2	tr|A0A835W0U1|A0A835W0U1_CHLIN	37.6	210	114	7	344	549	6694	6890	3.23e-26	110
Cre08.g369451.t1.1	tr|A0A2J7ZU46|A0A2J7ZU46_9CHLO	47.4	154	78	1	5	155	421	574	3.67e-33	131
Cre08.g385850.t1.2	tr|A0A7S0RME0|A0A7S0RME0_9CHLO	27.8	313	199	11	48	346	811	1110	4.85e-19	87.4
Cre08.g373350.t1.2	tr|A0A2J7ZU46|A0A2J7ZU46_9CHLO	34.5	316	174	8	51	362	287	573	3.36e-36	138
Cre08.g379800.t1.2	tr|A0A7R9YW17|A0A7R9YW17_9CHLO	35.6	1306	662	42	856	2100	2	1189	7.37e-165	539
Cre08.g373000.t1.2	tr|A0A2K3DS38|A0A2K3DS38_CHLRE	31.0	577	315	19	76	596	16	565	7.28e-27	112
Cre08.g384100.t1.1	tr|A0A2K3DS38|A0A2K3DS38_CHLRE	29.7	656	265	24	71	571	19	633	7.90e-42	157
Cre08.g372150.t1.2	tr|D8UA16|D8UA16_VOLCA	55.1	245	60	5	33	274	795	992	2.74e-69	228
Cre08.g385500.t1.2	tr|A0A250XI57|A0A250XI57_9CHLO	36.9	452	187	12	1	364	88	529	1.43e-91	285
Cre08.g385500.t2.1	tr|A0A250XI57|A0A250XI57_9CHLO	36.9	452	187	12	1	364	88	529	1.43e-91	285
Cre08.g368500.t1.2	tr|A0A836BMG7|A0A836BMG7_9CHLO	75.4	175	43	0	7	181	12	186	1.49e-96	274
Cre08.g377200.t1.1	tr|A0A835WI51|A0A835WI51_9CHLO	48.8	127	58	2	927	1047	2653	2778	4.02e-22	101
Cre08.g374600.t1.1	tr|A0A2K3DS38|A0A2K3DS38_CHLRE	43.4	175	67	6	1	154	1	164	1.92e-23	102
Cre08.g385050.t1.1	tr|A0A7S0RME0|A0A7S0RME0_9CHLO	30.1	332	193	9	136	442	789	1106	1.12e-28	119
Cre08.g361950.t1.1	tr|A0A835SV97|A0A835SV97_CHLIN	41.4	3089	1308	67	60	2872	499	3361	0.0	1609
Cre08.g361950.t2.1	tr|A0A835SV97|A0A835SV97_CHLIN	41.6	3070	1303	66	60	2847	499	3361	0.0	1614
Cre08.g382800.t1.2	tr|A0A150GBS0|A0A150GBS0_GONPE	27.8	515	217	14	132	565	265	705	4.74e-37	145
Cre08.g381400.t1.2	tr|A0A835T7K8|A0A835T7K8_CHLIN	34.4	511	195	14	538	1026	301	693	4.72e-12	67.0
Cre08.g358554.t1.1	tr|A0A150G279|A0A150G279_GONPE	51.4	311	69	6	35	333	1	241	2.51e-61	200
Cre08.g361400.t1.2	tr|A0A835SUR5|A0A835SUR5_CHLIN	67.3	1917	438	41	1	1830	1	1815	0.0	1039
Cre08.g374300.t1.1	tr|A0A835SHJ2|A0A835SHJ2_CHLIN	64.1	780	205	11	1	763	2	723	1.36e-243	692
Cre08.g374200.t1.1	tr|A0A7S0RME0|A0A7S0RME0_9CHLO	25.4	366	177	10	23	362	811	1106	1.75e-17	85.5
Cre08.g360600.t1.1	tr|A0A7R9V5K8|A0A7R9V5K8_9CHLO	33.6	131	78	2	1	122	1	131	2.91e-17	82.4
Cre08.g376250.t1.1	tr|A0A2K3DS38|A0A2K3DS38_CHLRE	31.1	666	326	20	86	670	20	633	2.69e-46	171
Cre08.g358555.t1.1	tr|A0A835T7L9|A0A835T7L9_CHLIN	28.6	196	97	6	225	394	1317	1495	1.00e-11	63.5
Cre08.g362150.t1.1	tr|A0A835SV97|A0A835SV97_CHLIN	40.1	3105	1285	61	28	2799	499	3361	0.0	1579
Cre08.g384750.t1.1	tr|A0A250XI57|A0A250XI57_9CHLO	40.3	352	170	10	94	418	87	425	2.98e-84	269
Cre08.g358569.t1.1	tr|A0A250WR09|A0A250WR09_9CHLO	24.5	698	384	23	50	700	13	614	1.29e-36	144
Cre08.g372650.t1.2	tr|A0A2K3DS38|A0A2K3DS38_CHLRE	28.6	566	302	18	3	485	19	565	4.50e-22	97.1
